Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2023,FYTD,FEB,Office of Field Operations,UAC,Mexico,Title 8,Inadmissibles,206
2023,FYTD,FEB,Office of Field Operations,UAC,Other,Title 8,Inadmissibles,152
2023,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,252
2023,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,272
2023,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1067
2023,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,432
2023,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,901
2023,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,192
2023,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,2488
2023,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,3768
2023,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,3740
2023,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,12531
2023,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,2917
2023,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,241
2023,FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,8047
2023,FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,405
2023,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,6071
2023,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,423
2023,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,46616
2023,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,4197
2023,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,4041
2023,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,21502
2023,FYTD,FEB,U.S. Border Patrol,UAC,El Salvador,Title 8,Apprehensions,820
2023,FYTD,FEB,U.S. Border Patrol,UAC,Guatemala,Title 8,Apprehensions,4065
2023,FYTD,FEB,U.S. Border Patrol,UAC,Honduras,Title 42,Expulsions,1
2023,FYTD,FEB,U.S. Border Patrol,UAC,Honduras,Title 8,Apprehensions,2510
2023,FYTD,FEB,U.S. Border Patrol,UAC,Mexico,Title 42,Expulsions,2
2023,FYTD,FEB,U.S. Border Patrol,UAC,Mexico,Title 8,Apprehensions,2411
2023,FYTD,FEB,U.S. Border Patrol,UAC,Other,Title 8,Apprehensions,609
2023,FYTD,JAN,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1
2023,FYTD,JAN,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,1
2023,FYTD,JAN,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,7
2023,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,108
2023,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,83
2023,FYTD,JAN,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,12
2023,FYTD,JAN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,9
2023,FYTD,JAN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,242
2023,FYTD,JAN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,251
2023,FYTD,JAN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1269
2023,FYTD,JAN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,4137
2023,FYTD,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,6711
2023,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,2
2023,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,174
2023,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,13
2023,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,142
2023,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,31
2023,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,726
2023,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1414
2023,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3828
2023,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,77
2023,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,8261
2023,FYTD,JAN,Office of Field Operations,UAC,El Salvador,Title 8,Inadmissibles,9
2023,FYTD,JAN,Office of Field Operations,UAC,Guatemala,Title 8,Inadmissibles,32
2023,FYTD,JAN,Office of Field Operations,UAC,Honduras,Title 8,Inadmissibles,15
2023,FYTD,JAN,Office of Field Operations,UAC,Mexico,Title 8,Inadmissibles,227
2023,FYTD,JAN,Office of Field Operations,UAC,Other,Title 8,Inadmissibles,63
2023,FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,258
2023,FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,294
2023,FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,770
2023,FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,201
2023,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,989
2023,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,235
2023,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1497
2023,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,3002
2023,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,4145
2023,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,14438
2023,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,1875
2023,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,229
2023,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,6967
2023,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,352
2023,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,5465
2023,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,295
2023,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,37023
2023,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,8754
2023,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,7517
2023,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,26173
2023,FYTD,JAN,U.S. Border Patrol,UAC,El Salvador,Title 42,Expulsions,1
2023,FYTD,JAN,U.S. Border Patrol,UAC,El Salvador,Title 8,Apprehensions,694
2023,FYTD,JAN,U.S. Border Patrol,UAC,Guatemala,Title 8,Apprehensions,3241
2023,FYTD,JAN,U.S. Border Patrol,UAC,Honduras,Title 8,Apprehensions,1998
2023,FYTD,JAN,U.S. Border Patrol,UAC,Mexico,Title 42,Expulsions,1
2023,FYTD,JAN,U.S. Border Patrol,UAC,Mexico,Title 8,Apprehensions,2191
2023,FYTD,JAN,U.S. Border Patrol,UAC,Other,Title 8,Apprehensions,908
2023,FYTD,JUL,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1
2023,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,4
2023,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,113
2023,FYTD,JUL,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,37
2023,FYTD,JUL,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,488
2023,FYTD,JUL,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,346
